Time,Temperature(C),RH,UV Index,Pressure(mbar),Image URL,,,,,
"March 2, 2016 at 07:57AM",-3.58,36,1306,669,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5uvnZaknJ4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/24.jpg,,,,
"March 2, 2016 at 05:03PM",8.11,15,1482,665,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5uwlpmlmJs=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/25.jpg,,,,
"March 3, 2016 at 07:56AM",-0.47,38,1324,670,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5uwnJKtn50=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/26.jpg,,,,
"March 3, 2016 at 05:07PM",9.83,18,1510,666,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ynlZakmZg=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/27.jpg,,,,
"March 4, 2016 at 07:51AM",-0.98,43,1274,668,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ynmpmkm5Y=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/28.jpg,,,,
"March 4, 2016 at 05:05PM",8,18,1311,663,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ynnpKnm50=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/29.jpg,,,,
"March 5, 2016 at 07:54AM",-0.04,41,1278,664,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5yomZWqmJ4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/30.jpg,,,,
"March 5, 2016 at 05:06PM",8.1,19,1323,660,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5yonJismJc=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/31.jpg,,,,
"March 6, 2016 at 07:53AM",-0.43,41,1307,662,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ypmJGtnZk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/32.jpg,,,,
"March 7, 2016 at 07:55AM",-0.96,42,1318,664,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5yqlpion5w=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/33.jpg,,,,
"March 9, 2016 at 05:05PM",8.59,11,1366,661,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ysl5Smnp0=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/34.jpg,,,,
"March 9, 2016 at 07:54AM",-0.14,34,1313,665,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5yrnpGmmZg=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/35.jpg,,,,
"March 11, 2016 at 05:07PM",9.12,24,1266,659,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ytnpemmpY=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/36.jpg,,,,
"March 13, 2016 at 07:56AM",2.76,30,1297,658,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5yvmJatm5U=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/37.jpg,,,,
"March 13, 2016 at 05:00PM",4.52,19,1282,658,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5yvm5mqmJ4=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/38.jpg,,,,
"March 14, 2016 at 07:54AM",1.04,17,1278,659,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ywl5OloZw=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/39.jpg,,,,
"March 14, 2016 at 05:05PM",3.6,13,1319,657,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5ywmpamnpY=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/40.jpg,,,,
"March 15, 2016 at 07:56AM",-0.93,17,1328,660,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq52nlZmrn5w=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/41.jpg,,,,
"April 6, 2016 at 07:57AM",4.25,32,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq56wlZqpn5U=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/42.jpg,,,,
"April 7, 2016 at 07:56AM",3.19,61,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq56wnpatmps=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/43.jpg,,,,
"April 7, 2016 at 05:06PM",11.19,8,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWnl5mtm5o=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/44.jpg,,,,
"April 8, 2016 at 07:55AM",3.39,37,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWnnZOmoZw=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/45.jpg,,,,
"April 10, 2016 at 07:57AM",3.56,44,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWpmpammZ0=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/46.jpg,,,,
"April 10, 2016 at 05:03PM",9.46,12,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWpnZitnpo=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/47.jpg,,,,
"April 12, 2016 at 05:00PM",11.77,7,1,,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1krJWrm5GpnZk=.jpg,file:///Users/B.Suryanarayanan/Documents/Icestupa/Bloomsky/bloomsky%20images/48.jpg,,,,
