Time,Temperature(C),RH,UV Index,Pressure(mbar),Precipitation,Image URL,,,,,
"February 12, 2016 at 02:23PM",1.13,31,1541,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5esoJc=.jpg,,,,,
"February 12, 2016 at 02:28PM",0.93,32,1621,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5ipmJU=.jpg,,,,,
"February 12, 2016 at 02:39PM",0.71,34,1584,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5mlm5k=.jpg,,,,,
"February 12, 2016 at 02:43PM",0.7,34,1458,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5momZw=.jpg,,,,,
"February 12, 2016 at 02:48PM",0.39,33,1499,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5mrmJg=.jpg,,,,,
"February 12, 2016 at 02:48PM",0.95,34,1643,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5isnJw=.jpg,,,,,
"February 12, 2016 at 02:53PM",0.69,30,1457,657,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5mtn5w=.jpg,,,,,
"February 12, 2016 at 02:58PM",0.73,28,1451,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5qmnZ4=.jpg,,,,,
"February 12, 2016 at 03:08PM",0.71,31,1423,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5qsoZs=.jpg,,,,,
"February 12, 2016 at 03:08PM",0.51,31,1454,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpm5qpm54=.jpg,,,,,
"February 12, 2016 at 03:13PM",0.52,29,1440,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJGlnpk=.jpg,,,,,
"February 12, 2016 at 03:18PM",0.55,29,1507,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJGonZs=.jpg,,,,,
"February 12, 2016 at 03:23PM",0.49,31,1417,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJGroJo=.jpg,,,,,
"February 12, 2016 at 03:28PM",0.38,29,1411,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJKknpc=.jpg,,,,,
"February 12, 2016 at 03:37PM",0.61,27,1408,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJKqm5k=.jpg,,,,,
"February 12, 2016 at 03:42PM",0.63,26,1390,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJKtmZg=.jpg,,,,,
"February 12, 2016 at 03:47PM",0.44,24,1402,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJOloZs=.jpg,,,,,
"February 12, 2016 at 03:52PM",0.42,21,1395,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJOpm50=.jpg,,,,,
"February 12, 2016 at 04:02PM",0.13,23,1352,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJSlmJg=.jpg,,,,,
"February 12, 2016 at 04:26PM",-0.29,23,1307,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJWqmJc=.jpg,,,,,
"February 12, 2016 at 04:26PM",-0.62,26,1318,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJWnmZw=.jpg,,,,,
"February 12, 2016 at 04:36PM",-0.3,23,1310,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJaloJ4=.jpg,,,,,
"February 12, 2016 at 04:36PM",-0.45,24,1290,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJWsn50=.jpg,,,,,
"February 12, 2016 at 04:52PM",-0.37,23,1304,656,FALSE,http://storage.googleapis.com/bloomsky-img/eaB1rJytnpS4rKupqJ1kq5qpnJelmpg=.jpg,,,,,
